output_size,region,task_idx,task,rollout,success,steps,jerk
16,native,1,cream_cheese,3,1,271,0.02984
16,native,1,cream_cheese,4,1,195,0.02517
16,native,1,cream_cheese,5,0,400,0.04462
16,native,1,cream_cheese,6,1,168,0.024
16,native,1,cream_cheese,7,0,400,0.04827
16,native,1,cream_cheese,8,0,400,0.05016
16,native,1,cream_cheese,9,0,400,0.02975
16,native,2,salad_dressing,0,1,127,0.01913
16,native,2,salad_dressing,1,1,123,0.01781
16,native,2,salad_dressing,2,1,188,0.02938
16,native,2,salad_dressing,3,1,242,0.03192
16,native,2,salad_dressing,4,1,192,0.02323
16,native,2,salad_dressing,5,1,300,0.03349
16,native,2,salad_dressing,6,1,227,0.03349
16,native,2,salad_dressing,7,1,168,0.02547
16,native,2,salad_dressing,8,1,134,0.019
16,native,2,salad_dressing,9,1,219,0.03252
16,native,3,bbq_sauce,0,1,281,0.03187
16,native,3,bbq_sauce,1,0,400,0.03786
16,native,3,bbq_sauce,2,0,400,0.03676
16,native,3,bbq_sauce,3,0,400,0.03399
16,native,3,bbq_sauce,4,0,400,0.03735
16,native,3,bbq_sauce,5,0,400,0.0353
16,native,3,bbq_sauce,6,0,400,0.03473
16,native,3,bbq_sauce,7,0,400,0.03723
16,native,3,bbq_sauce,8,0,400,0.03416
16,native,3,bbq_sauce,9,0,400,0.03762
16,native,4,ketchup,0,0,400,0.03035
16,native,4,ketchup,1,0,400,0.03262
16,native,4,ketchup,2,1,188,0.0228
16,native,4,ketchup,3,1,258,0.02498
16,native,4,ketchup,4,0,400,0.02307
16,native,4,ketchup,5,0,400,0.02523
16,native,4,ketchup,6,0,400,0.03006
16,native,4,ketchup,7,0,400,0.02764
16,native,4,ketchup,8,0,400,0.02647
16,native,4,ketchup,9,0,400,0.02803
16,native,5,tomato_sauce,0,0,400,0.03463
16,native,5,tomato_sauce,1,1,392,0.0324
16,native,5,tomato_sauce,2,0,400,0.02851
16,native,5,tomato_sauce,3,1,177,0.04277
16,native,5,tomato_sauce,4,0,400,0.02266
16,native,5,tomato_sauce,5,1,223,0.02831
16,native,5,tomato_sauce,6,1,159,0.03926
16,native,5,tomato_sauce,7,1,378,0.02779
16,native,5,tomato_sauce,8,1,146,0.02988
16,native,5,tomato_sauce,9,1,145,0.03042
16,native,6,butter,0,1,151,0.02216
16,native,6,butter,1,1,160,0.01817
16,native,6,butter,2,1,153,0.01865
16,native,6,butter,3,1,153,0.01835
16,native,6,butter,4,1,157,0.02203
16,native,6,butter,5,1,151,0.02162
16,native,6,butter,6,1,178,0.02597
16,native,6,butter,7,1,154,0.02197
16,native,6,butter,8,1,152,0.01962
16,native,6,butter,9,1,197,0.02561
16,native,7,milk,0,0,400,0.03664
16,native,7,milk,1,1,140,0.01708
16,native,7,milk,2,1,143,0.01839
16,native,7,milk,3,1,141,0.0168
16,native,7,milk,4,0,400,0.03738
16,native,7,milk,5,0,400,0.03795
16,native,7,milk,6,1,147,0.01687
16,native,7,milk,7,1,144,0.01405
16,native,7,milk,8,0,400,0.03564
16,native,7,milk,9,1,135,0.01742
16,native,8,chocolate_pudding,0,0,400,0.02578
16,native,8,chocolate_pudding,1,1,219,0.01945
16,native,8,chocolate_pudding,2,0,400,0.02302
16,native,8,chocolate_pudding,3,1,209,0.01663
16,native,8,chocolate_pudding,4,0,400,0.03457
16,native,8,chocolate_pudding,5,0,400,0.03329
16,native,8,chocolate_pudding,6,1,210,0.01917
16,native,8,chocolate_pudding,7,1,184,0.01556
16,native,8,chocolate_pudding,8,1,387,0.02387
16,native,8,chocolate_pudding,9,1,160,0.01751
16,native,9,orange_juice,0,0,400,0.03844
16,native,9,orange_juice,1,0,400,0.04125
16,native,9,orange_juice,2,0,400,0.03748
16,native,9,orange_juice,3,0,400,0.03913
16,native,9,orange_juice,4,1,131,0.02056
16,native,9,orange_juice,5,0,400,0.0418
16,native,9,orange_juice,6,1,169,0.02709
16,native,9,orange_juice,7,1,148,0.02901
16,native,9,orange_juice,8,1,123,0.01855
16,native,9,orange_juice,9,0,400,0.03848
24,above_nyquist,0,alphabet_soup,0,1,156,0.01986
24,above_nyquist,0,alphabet_soup,1,1,156,0.02043
24,above_nyquist,0,alphabet_soup,2,1,139,0.01954
24,above_nyquist,0,alphabet_soup,3,0,400,0.03379
24,above_nyquist,0,alphabet_soup,4,1,161,0.01784
24,above_nyquist,0,alphabet_soup,5,1,154,0.01897
24,above_nyquist,0,alphabet_soup,6,1,130,0.01752
24,above_nyquist,0,alphabet_soup,7,1,140,0.02033
24,above_nyquist,0,alphabet_soup,8,1,136,0.01895
24,above_nyquist,0,alphabet_soup,9,1,157,0.02177
24,above_nyquist,1,cream_cheese,0,1,130,0.01648
24,above_nyquist,1,cream_cheese,1,1,126,0.01278
24,above_nyquist,1,cream_cheese,2,0,400,0.03615
24,above_nyquist,1,cream_cheese,3,1,138,0.01882
24,above_nyquist,1,cream_cheese,4,0,400,0.03375
24,above_nyquist,1,cream_cheese,5,1,137,0.01773
24,above_nyquist,1,cream_cheese,6,0,400,0.03572
24,above_nyquist,1,cream_cheese,7,1,156,0.02288
24,above_nyquist,1,cream_cheese,8,0,400,0.03388
24,above_nyquist,1,cream_cheese,9,1,156,0.02157
24,above_nyquist,2,salad_dressing,0,1,111,0.01683
24,above_nyquist,2,salad_dressing,1,1,110,0.01735
24,above_nyquist,2,salad_dressing,2,1,161,0.02392
24,above_nyquist,2,salad_dressing,3,1,111,0.01932
24,above_nyquist,2,salad_dressing,4,1,131,0.01871
24,above_nyquist,2,salad_dressing,5,1,144,0.023
24,above_nyquist,2,salad_dressing,6,1,176,0.02594
24,above_nyquist,2,salad_dressing,7,1,107,0.01909
24,above_nyquist,2,salad_dressing,8,1,111,0.01796
24,above_nyquist,2,salad_dressing,9,1,122,0.01869
24,above_nyquist,3,bbq_sauce,0,0,400,0.02863
24,above_nyquist,3,bbq_sauce,1,0,400,0.03177
24,above_nyquist,3,bbq_sauce,2,0,400,0.02626
24,above_nyquist,3,bbq_sauce,3,0,400,0.02719
24,above_nyquist,3,bbq_sauce,4,0,400,0.03303
24,above_nyquist,3,bbq_sauce,5,0,400,0.0295
24,above_nyquist,3,bbq_sauce,6,0,400,0.02715
24,above_nyquist,3,bbq_sauce,7,0,400,0.02983
24,above_nyquist,3,bbq_sauce,8,0,400,0.03089
24,above_nyquist,3,bbq_sauce,9,0,400,0.02209
24,above_nyquist,4,ketchup,0,1,391,0.02059
24,above_nyquist,4,ketchup,1,0,400,0.01816
24,above_nyquist,4,ketchup,2,0,400,0.01651
24,above_nyquist,4,ketchup,3,0,400,0.01729
24,above_nyquist,4,ketchup,4,1,230,0.02117
24,above_nyquist,4,ketchup,5,0,400,0.02583
24,above_nyquist,4,ketchup,6,0,400,0.01652
24,above_nyquist,4,ketchup,7,0,400,0.01576
24,above_nyquist,4,ketchup,8,0,400,0.01752
24,above_nyquist,4,ketchup,9,0,400,0.0181
24,above_nyquist,5,tomato_sauce,0,1,384,0.04411
24,above_nyquist,5,tomato_sauce,1,1,298,0.04349
24,above_nyquist,5,tomato_sauce,2,1,336,0.03886
24,above_nyquist,5,tomato_sauce,3,0,400,0.0428
24,above_nyquist,5,tomato_sauce,4,1,211,0.03777
24,above_nyquist,5,tomato_sauce,5,0,400,0.0306
24,above_nyquist,5,tomato_sauce,6,1,167,0.02839
24,above_nyquist,5,tomato_sauce,7,1,187,0.0327
24,above_nyquist,5,tomato_sauce,8,1,183,0.02934
24,above_nyquist,5,tomato_sauce,9,1,331,0.04301
24,above_nyquist,6,butter,0,1,144,0.02052
24,above_nyquist,6,butter,1,1,151,0.0213
24,above_nyquist,6,butter,2,1,157,0.02041
24,above_nyquist,6,butter,3,1,151,0.01655
24,above_nyquist,6,butter,4,1,151,0.01503
24,above_nyquist,6,butter,5,1,149,0.0181
24,above_nyquist,6,butter,6,1,156,0.01657
24,above_nyquist,6,butter,7,1,144,0.01883
24,above_nyquist,6,butter,8,1,143,0.01695
24,above_nyquist,6,butter,9,1,170,0.02223
24,above_nyquist,7,milk,0,1,131,0.01434
24,above_nyquist,7,milk,1,1,128,0.01414
24,above_nyquist,7,milk,2,1,131,0.01541
24,above_nyquist,7,milk,3,1,131,0.01654
24,above_nyquist,7,milk,4,1,132,0.01448
24,above_nyquist,7,milk,5,1,128,0.01517
24,above_nyquist,7,milk,6,1,128,0.01685
24,above_nyquist,7,milk,7,1,132,0.01344
24,above_nyquist,7,milk,8,1,132,0.01339
24,above_nyquist,7,milk,9,1,124,0.01505
24,above_nyquist,8,chocolate_pudding,0,0,400,0.02778
24,above_nyquist,8,chocolate_pudding,1,1,160,0.01457
24,above_nyquist,8,chocolate_pudding,2,0,400,0.01958
24,above_nyquist,8,chocolate_pudding,3,1,180,0.01742
24,above_nyquist,8,chocolate_pudding,4,1,211,0.01901
24,above_nyquist,8,chocolate_pudding,5,1,267,0.02039
24,above_nyquist,8,chocolate_pudding,6,1,144,0.01326
24,above_nyquist,8,chocolate_pudding,7,1,152,0.01411
24,above_nyquist,8,chocolate_pudding,8,1,250,0.01835
