perturb,severity,task_idx,task,rollout,success,steps,jerk
noise,1,3,bbq_sauce,2,0,400,0.033
noise,1,3,bbq_sauce,3,1,196,0.02488
noise,1,3,bbq_sauce,4,1,132,0.01909
noise,1,3,bbq_sauce,5,1,256,0.02724
noise,1,3,bbq_sauce,6,0,400,0.0325
noise,1,3,bbq_sauce,7,1,239,0.02902
noise,1,3,bbq_sauce,8,0,400,0.03639
noise,1,3,bbq_sauce,9,1,176,0.02124
noise,1,4,ketchup,0,0,400,0.02468
noise,1,4,ketchup,1,0,400,0.02257
noise,1,4,ketchup,2,1,185,0.02325
noise,1,4,ketchup,3,1,338,0.02428
noise,1,4,ketchup,4,0,400,0.02268
noise,1,4,ketchup,5,0,400,0.02521
noise,1,4,ketchup,6,0,400,0.02799
noise,1,4,ketchup,7,0,400,0.02482
noise,1,4,ketchup,8,0,400,0.02662
noise,1,4,ketchup,9,1,321,0.02468
noise,1,5,tomato_sauce,0,1,195,0.02538
noise,1,5,tomato_sauce,1,1,126,0.02461
noise,1,5,tomato_sauce,2,1,137,0.02527
noise,1,5,tomato_sauce,3,1,150,0.03391
noise,1,5,tomato_sauce,4,1,319,0.02953
noise,1,5,tomato_sauce,5,0,400,0.03103
noise,1,5,tomato_sauce,6,1,153,0.03247
noise,1,5,tomato_sauce,7,0,400,0.03288
noise,1,5,tomato_sauce,8,1,143,0.02894
noise,1,5,tomato_sauce,9,1,140,0.02948
noise,1,6,butter,0,1,159,0.01687
noise,1,6,butter,1,1,168,0.01871
noise,1,6,butter,2,1,153,0.01927
noise,1,6,butter,3,1,152,0.0195
noise,1,6,butter,4,1,151,0.02112
noise,1,6,butter,5,1,152,0.02224
noise,1,6,butter,6,0,400,0.0403
noise,1,6,butter,7,1,151,0.01859
noise,1,6,butter,8,1,158,0.02206
noise,1,6,butter,9,1,154,0.02369
noise,1,7,milk,0,0,400,0.03579
noise,1,7,milk,1,1,138,0.01826
noise,1,7,milk,2,1,144,0.01835
noise,1,7,milk,3,1,140,0.01956
noise,1,7,milk,4,1,146,0.01845
noise,1,7,milk,5,1,138,0.01849
noise,1,7,milk,6,1,145,0.01732
noise,1,7,milk,7,1,145,0.01429
noise,1,7,milk,8,0,400,0.03548
noise,1,7,milk,9,1,135,0.01834
noise,1,8,chocolate_pudding,0,1,226,0.02527
noise,1,8,chocolate_pudding,1,0,400,0.02773
noise,1,8,chocolate_pudding,2,0,400,0.03599
noise,1,8,chocolate_pudding,3,0,400,0.0388
noise,1,8,chocolate_pudding,4,0,400,0.02839
noise,1,8,chocolate_pudding,5,0,400,0.03633
noise,1,8,chocolate_pudding,6,0,400,0.03636
noise,1,8,chocolate_pudding,7,0,400,0.03611
noise,1,8,chocolate_pudding,8,1,260,0.02135
noise,1,8,chocolate_pudding,9,1,207,0.01929
noise,1,9,orange_juice,0,0,400,0.03818
noise,1,9,orange_juice,1,0,400,0.03719
noise,1,9,orange_juice,2,0,400,0.03455
noise,1,9,orange_juice,3,1,297,0.03435
noise,1,9,orange_juice,4,1,143,0.0202
noise,1,9,orange_juice,5,0,400,0.03978
noise,1,9,orange_juice,6,0,400,0.0386
noise,1,9,orange_juice,7,0,400,0.03622
noise,1,9,orange_juice,8,1,123,0.01763
noise,1,9,orange_juice,9,0,400,0.03833
noise,2,0,alphabet_soup,0,1,143,0.01834
noise,2,0,alphabet_soup,1,0,400,0.03251
noise,2,0,alphabet_soup,2,1,168,0.02367
noise,2,0,alphabet_soup,3,1,200,0.02126
noise,2,0,alphabet_soup,4,1,199,0.02216
noise,2,0,alphabet_soup,5,1,177,0.02317
noise,2,0,alphabet_soup,6,1,137,0.01768
noise,2,0,alphabet_soup,7,1,144,0.01922
noise,2,0,alphabet_soup,8,1,141,0.01973
noise,2,0,alphabet_soup,9,1,213,0.02278
noise,2,1,cream_cheese,0,1,195,0.02618
noise,2,1,cream_cheese,1,0,400,0.04827
noise,2,1,cream_cheese,2,1,191,0.02637
noise,2,1,cream_cheese,3,0,400,0.04006
noise,2,1,cream_cheese,4,1,187,0.02467
noise,2,1,cream_cheese,5,0,400,0.03448
noise,2,1,cream_cheese,6,0,400,0.0304
noise,2,1,cream_cheese,7,1,170,0.02392
noise,2,1,cream_cheese,8,1,182,0.0246
noise,2,1,cream_cheese,9,0,400,0.03659
noise,2,2,salad_dressing,0,1,182,0.02547
noise,2,2,salad_dressing,1,1,120,0.01952
noise,2,2,salad_dressing,2,1,191,0.03266
noise,2,2,salad_dressing,3,1,121,0.01844
noise,2,2,salad_dressing,4,1,174,0.0228
noise,2,2,salad_dressing,5,1,120,0.02198
noise,2,2,salad_dressing,6,1,115,0.01893
noise,2,2,salad_dressing,7,1,172,0.02504
noise,2,2,salad_dressing,8,1,128,0.02032
noise,2,2,salad_dressing,9,1,179,0.02601
noise,2,3,bbq_sauce,0,1,278,0.03092
noise,2,3,bbq_sauce,1,1,210,0.02873
noise,2,3,bbq_sauce,2,1,229,0.02982
noise,2,3,bbq_sauce,3,0,400,0.03427
noise,2,3,bbq_sauce,4,0,400,0.03202
noise,2,3,bbq_sauce,5,1,274,0.03109
noise,2,3,bbq_sauce,6,1,259,0.02679
noise,2,3,bbq_sauce,7,0,400,0.03483
noise,2,3,bbq_sauce,8,1,289,0.02852
noise,2,3,bbq_sauce,9,0,400,0.03142
noise,2,4,ketchup,0,1,179,0.02164
noise,2,4,ketchup,1,1,243,0.02509
noise,2,4,ketchup,2,1,178,0.02198
noise,2,4,ketchup,3,0,400,0.02536
noise,2,4,ketchup,4,0,400,0.027
noise,2,4,ketchup,5,0,400,0.02642
noise,2,4,ketchup,6,0,400,0.02602
noise,2,4,ketchup,7,0,400,0.02547
noise,2,4,ketchup,8,0,400,0.02966
noise,2,4,ketchup,9,1,187,0.02254
noise,2,5,tomato_sauce,0,0,400,0.03255
noise,2,5,tomato_sauce,1,1,209,0.02725
noise,2,5,tomato_sauce,2,0,400,0.03193
noise,2,5,tomato_sauce,3,1,169,0.04452
noise,2,5,tomato_sauce,4,1,150,0.03247
noise,2,5,tomato_sauce,5,0,400,0.03243
